Athlete,Date,Day.of.Week,RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,RSI
Athlete 1 Bergdorf,01-01-2022,Monday,48.0,120.0,58.0,51.0,6.36,5.62,11.02,88.0,7.0,6.0,15.97,3.0,1.67,1.42,2.53,0.74,3.21,37.0,11.7188,5.62,26.3,22.3,3.97,64.6,0.33
Athlete 1 Bergdorf,01-10-2022,Monday,48.0,120.0,58.0,51.0,6.36,5.62,11.02,88.0,7.0,6.0,15.97,3.0,1.67,1.42,2.53,0.74,3.21,37.0,11.7188,5.62,26.3,22.3,3.97,64.6,0.33
Athlete 1 Bergdorf,01-11-2022,Thursday,50.664742472805465,119.00357416165612,57.44300011591866,50.88527848195872,6.227323582770415,5.488423135848118,10.737242753922697,88.06220155731764,7.462190958577583,6.507404342012532,14.219203624044821,2.9006632949698345,1.5865241200360471,0.9689568440301912,2.9324230547348393,0.7431419939956435,2.7098150700060155,37.0,12.306940183426645,5.48842313585626,25.525849578783934,15.56998137311863,3.4078117373398613,54.171990136558954,0.33044303189359375
Athlete 1 Bergdorf,01-12-2022,Thursday,52.331409139472136,119.33690749498948,58.44300011591865,52.21861181529206,6.190656916103748,5.468423135848118,10.447242753922698,88.39553489065098,7.795524291910917,6.840737675345866,12.419203624044822,2.9006632949698345,1.553190786702714,0.6756235106968582,3.2390897214015064,0.7298086606623102,2.2698150700060165,37.0,12.736606850093313,5.46842313585626,25.12584957878394,11.003314706451967,2.9778117373398616,45.838656803225625,0.3307272110853984
Athlete 1 Bergdorf,1/13/2022,Thursday,53.0,121.0,61.0,55.0,6.25,5.56,10.15,89.0,8.0,7.0,10.57,3.0,1.57,0.54,3.45,0.7,1.89,37.0,13.0078,5.56,25.1,8.6,2.68,39.6,0.3308525375754139
Athlete 1 Bergdorf,1/14/2022,Wednesday,52.670515054389064,123.9928516766877,65.11399976816267,59.22944303608254,6.40535283445917,5.763153728303763,9.845514492154605,89.8755968853647,8.07561808284483,6.985191315974934,8.671592751910358,3.198673410060331,1.636951759927905,0.5620863119396168,3.565153890530321,0.6537160120087125,1.5703698599879674,61.262230559963335,13.120519633146703,5.763153728287479,25.448300842432126,8.360037253762734,2.514376525320277,35.456019726882076,0.3308190113636401
Athlete 1 Bergdorf,1/15/2022,Wednesday,51.34295430263932,128.31546252505262,70.78499942040668,64.90694092353968,6.656715419481257,6.0778843207594075,9.533786230386513,91.02232554674507,8.022378540445413,6.796311623270667,6.723981879775895,3.496683525150826,1.754046066486429,0.7418824465157087,3.584551392992468,0.5909566966884483,1.3109246499699185,83.76354879765027,13.074765749533425,6.077884320718697,26.17075210608032,10.283426467740169,2.480941313300692,33.40671598387185,0.3306266324500773
Athlete 1 Bergdorf,1/16/2022,Wednesday,49.01731774475077,133.96783254509472,78.012998956732,72.03249366237145,7.004087755066262,6.504191777366935,9.21481521469572,92.44018598414112,7.840281372801741,6.4333609218872,4.72716738359661,3.8940303452714873,1.9212829196755725,1.079388403728276,3.5081925073864424,0.5117220540392069,1.1116643699458533,104.50395471306085,12.870538349160167,6.504191777293656,27.267353790944576,14.370167641932307,2.579694363941246,33.45208877096933,0.3302754008347253
Athlete 1 Bergdorf,1/17/2022,Wednesday,46.465610576917605,139.4051286662269,85.01588761378355,79.15082558734287,7.361662811747654,6.941789950115142,8.922551929072547,93.87133842506137,7.582566122313238,5.974107793417688,2.8543156910625225,4.31492597755404,2.0937902351590334,1.4614747156678927,3.3933463979167624,0.43099362160347504,0.964256452156043,123.48344830619503,12.612180204529093,6.94178995002558,28.382321300043365,19.074649340139487,2.7574042225948556,34.741441831184744,0.3297653165175841
Athlete 1 Bergdorf,1/18/2022,Wednesday,44.45983799533403,143.08251781786197,90.01155462820623,84.80666103321907,7.6436335600589,7.290392690992831,8.690946857507306,95.05794309701433,7.302472331379326,5.496320819455289,1.2785932298636533,4.683582529130211,2.2266959286005092,1.7750119144251342,3.2972822287879486,0.36375293692373956,0.8603683288407586,140.70202957705285,12.404034088142371,7.290392690927694,29.159870036395173,22.851260126162053,2.960839434614441,36.4240789075283,0.3290963794986538
Athlete 1 Bergdorf,1/19/2022,Wednesday,43.0,145.0,93.0,89.0,7.85,7.55,8.52,96.0,7.0,5.0,0.0,5.0,2.32,2.02,3.22,0.31,0.8,156.15969852563427,12.2461,7.55,29.6,25.7,3.19,38.5,0.3282685897779343
Athlete 1 Bergdorf,01-02-2022,Monday,42.08609659091556,145.15757521264092,93.98122372916485,91.73084248768569,7.980762131570953,7.720611877136648,8.409711356550625,96.69750913401839,6.675149128175265,4.485145335051822,-0.9814639985284341,5.264178390163407,2.373702449357506,2.1964389723924898,3.161499711552917,0.26973481083225676,0.7831514656337676,169.85645515193931,12.13837794010198,7.720611877242495,29.702711190857833,27.620868961653333,3.4448859187515333,40.96920510859985,0.3272819473554257
Athlete 1 Bergdorf,1/20/2022,Monday,41.71812776808068,143.55524345578482,92.95522581570081,92.99918849627613,8.035919954771758,7.802228322402777,8.360080927159181,97.15047049906944,6.327919715905117,3.9517568246107535,-1.6657987657216515,5.476117699620431,2.387803276673027,2.304328831602604,3.121781363446699,0.2429573694205095,0.8098227257420609,181.79229945596796,12.080867908448312,7.80222832265518,29.468003608968683,28.613867011122043,3.725497190869041,43.83169423332785,0.3261364522311279
Athlete 1 Bergdorf,1/21/2022,Monday,41.89609353149538,140.19300472943164,89.92200625960791,92.80503802577135,8.015473469602421,7.7948493357983875,8.371108711825675,97.35888409515324,5.958311763189559,3.399834468676798,-2.0530043015796533,5.635817928371076,2.3623024819465646,2.343669577630344,3.1008449556813473,0.22966767576475858,0.8800137803248804,191.96723143772027,12.073569905038998,7.794849336238058,28.89587725433256,28.67899414840615,4.031833816352524,47.087467374184016,0.32483210440504096
Athlete 1 Bergdorf,1/22/2022,Monday,42.619993881159644,135.07085903358137,84.88156506088608,91.14839107617131,7.919422676062935,7.698474917323476,8.4427947105501,97.32274992226972,5.566325270028591,2.829378267249953,-2.143080606102436,5.743279076415336,2.2972000651781164,2.3144612104757067,3.09869048825686,0.22986572986500367,0.9937246293822256,200.38125109719616,12.116483929874027,7.698474917991124,27.986332126949435,27.816250373505632,4.363895795201981,50.736524531168314,0.32336890387716477
Athlete 1 Bergdorf,1/23/2022,Monday,43.88982881707348,128.18880636823405,77.83390221953535,88.02924764747598,7.747767574153302,7.513105066978044,8.575138923332455,97.04206798041892,5.151960236422208,2.2403882203302183,-1.9360276792900024,5.798501143753214,2.192496026367683,2.2167037301386943,3.1153179611732393,0.24355153172124494,1.1509552729140968,207.03435843439567,12.20960998295341,7.5131050679143785,26.739368226819327,26.025635686420497,4.721683127417412,54.77886570428076,0.3217468506474995
Athlete 1 Bergdorf,1/24/2022,Monday,45.705598339236886,119.54684673338966,68.77901773555571,83.44760773968547,7.500508163873525,7.238739784762094,8.768141350172746,96.51683826960081,4.715216662370415,1.6328643279175945,-1.4318455211423509,5.801484130384711,2.048190365515265,2.0503971366193063,3.150727374430484,0.2707250813334824,1.351705710920494,211.92655344931882,12.352948064277147,7.238739786007827,25.15498555394224,23.30715008715075,5.105195812998819,59.214490893521365,0.31996594471604506
Athlete 1 Bergdorf,1/25/2022,Monday,48.067302447649865,109.1449801290482,57.716911608947214,77.40347135279967,7.177644445223601,6.875379070675624,9.02180199107097,95.74706078981542,4.256094547873212,1.0068065900120824,-0.6305341316594824,5.752228036309827,1.8642830826208625,1.815541429917543,3.2049187280285936,0.311386378701716,1.595975943401417,215.0578361419656,12.546498173845235,6.875379072271464,23.233184108318166,19.660793575696385,5.514433851946198,64.04340009889012,0.3180261860828015
Athlete 1 Bergdorf,1/26/2022,Monday,50.242586047995516,99.79842045821498,47.40105398809595,71.36327491069758,6.85140748391149,6.507921251663619,9.26722581600711,94.96719919616001,3.8477440844832245,0.5029200116979136,0.24528885503397757,5.651860593814131,1.6842826126807104,1.5727044403620023,3.258909317217373,0.35280741571477753,1.8197981781924863,216.42820651233595,12.731374888562495,6.50792125354443,21.40594657664029,15.965016918295227,5.803694998977408,67.71135419818172,0.3159275747477688
Athlete 1 Bergdorf,1/27/2022,Monday,51.49909404595689,94.3223816238953,40.58491502138811,66.79345483725811,6.594028345645149,6.221264654671063,9.435517794961159,94.41171714373188,3.56331546375308,0.26190959805932096,0.973005804813402,5.501509535183201,1.5516973906910445,1.3824539982812825,3.2937164372466263,0.3822601842614987,1.9592046231293223,216.03766456042996,12.848692785333755,6.221264656665862,20.105255645601794,13.098270881185107,5.8272770088103,68.66411406919089,0.31367011071094686
Athlete 1 Bergdorf,1/28/2022,Monday,51.836826441534015,92.71686362608914,37.26849470882367,63.69401113248124,6.4055070304245785,6.015409279697952,9.526677927933115,94.08061463253097,3.4028086856827775,0.2837753490963044,1.5526167176787917,5.301174860417034,1.4665274166518638,1.2447901036753837,3.3093400881163535,0.39974468434187965,2.0141952782119246,213.88621028624752,12.898451864159009,6.015409281635758,19.331111315202673,11.060555464366017,5.5851798814448745,66.9016797119176,0.31125379397233577
Athlete 1 Bergdorf,1/29/2022,Monday,51.255783234726906,94.98186646479654,37.45179305040264,62.06494379636701,6.285843538249778,5.890355126744293,9.540706214922977,93.97389166255734,3.3662237502723187,0.5685172648088646,1.9841215936301464,5.05085656951563,1.4287726905631692,1.1597127565443062,3.3057802698265544,0.4052609159559202,1.9847701434402936,209.97384368978874,12.880652125038262,5.890355128454121,19.083513585442937,9.851870667837963,5.077403616881131,62.42405112636186,0.30867862453193556
