Athlete,Date,Day.of.Week,RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,RSI
Athlete 1 Bergdorf,01-01-2022,,59.68736299124407,84.14208357941925,59.46622097391017,76.40330866815644,7.780812700299569,6.890544973993993,8.908637441101536,88.8687628648553,14.156061555405719,11.623919101890536,2.8857493462405372,5.303373850233004,2.044592731862506,1.3724761050889913,3.4733559242306624,0.8973299539689945,0.9816459755699727,62.36505794680755,16.465772932735938,7.179415273110671,26.371141871746303,17.792928037673686,3.415374172579128,44.14524201843213,0.3890604958738514
Athlete 1 Bergdorf,01-10-2022,Monday,48.0,120.0,58.0,51.0,6.36,5.62,11.02,88.0,7.0,6.0,15.97,3.0,1.67,1.42,2.53,0.74,3.21,44.46394536448818,11.7188,5.62,26.3,22.3,3.97,64.6,0.33
Athlete 1 Bergdorf,01-11-2022,,59.68736299124407,84.14208357941925,59.46622097391017,76.40330866815644,7.780812700299569,6.890544973993993,8.908637441101536,88.8687628648553,14.156061555405719,11.623919101890536,2.8857493462405372,5.303373850233004,2.044592731862506,1.3724761050889913,3.4733559242306624,0.8973299539689945,0.9816459755699727,62.36505794680755,16.465772932735938,7.179415273110671,26.371141871746303,17.792928037673686,3.415374172579128,44.14524201843213,0.3890604958738514
Athlete 1 Bergdorf,01-12-2022,,59.68736299124407,84.14208357941925,59.46622097391017,76.40330866815644,7.780812700299569,6.890544973993993,8.908637441101536,88.8687628648553,14.156061555405719,11.623919101890536,2.8857493462405372,5.303373850233004,2.044592731862506,1.3724761050889913,3.4733559242306624,0.8973299539689945,0.9816459755699727,62.36505794680755,16.465772932735938,7.179415273110671,26.371141871746303,17.792928037673686,3.415374172579128,44.14524201843213,0.3890604958738514
Athlete 1 Bergdorf,1/13/2022,Thursday,53.0,121.0,61.0,55.0,6.25,5.56,10.15,89.0,8.0,7.0,10.57,3.0,1.57,0.54,3.45,0.7,1.89,37.0,13.0078,5.56,25.1,8.6,2.68,39.6,0.356757671056418
Athlete 1 Bergdorf,1/14/2022,,59.68736299124407,84.14208357941925,59.46622097391017,76.40330866815644,7.780812700299569,6.890544973993993,8.908637441101536,88.8687628648553,14.156061555405719,11.623919101890536,2.8857493462405372,5.303373850233004,2.044592731862506,1.3724761050889913,3.4733559242306624,0.8973299539689945,0.9816459755699727,62.36505794680755,16.465772932735938,7.179415273110671,26.371141871746303,17.792928037673686,3.415374172579128,44.14524201843213,0.3890604958738514
Athlete 1 Bergdorf,1/15/2022,,59.68736299124407,84.14208357941925,59.46622097391017,76.40330866815644,7.780812700299569,6.890544973993993,8.908637441101536,88.8687628648553,14.156061555405719,11.623919101890536,2.8857493462405372,5.303373850233004,2.044592731862506,1.3724761050889913,3.4733559242306624,0.8973299539689945,0.9816459755699727,62.36505794680755,16.465772932735938,7.179415273110671,26.371141871746303,17.792928037673686,3.415374172579128,44.14524201843213,0.3890604958738514
Athlete 1 Bergdorf,1/16/2022,,59.68736299124407,84.14208357941925,59.46622097391017,76.40330866815644,7.780812700299569,6.890544973993993,8.908637441101536,88.8687628648553,14.156061555405719,11.623919101890536,2.8857493462405372,5.303373850233004,2.044592731862506,1.3724761050889913,3.4733559242306624,0.8973299539689945,0.9816459755699727,62.36505794680755,16.465772932735938,7.179415273110671,26.371141871746303,17.792928037673686,3.415374172579128,44.14524201843213,0.3890604958738514
Athlete 1 Bergdorf,1/17/2022,,59.68736299124407,84.14208357941925,59.46622097391017,76.40330866815644,7.780812700299569,6.890544973993993,8.908637441101536,88.8687628648553,14.156061555405719,11.623919101890536,2.8857493462405372,5.303373850233004,2.044592731862506,1.3724761050889913,3.4733559242306624,0.8973299539689945,0.9816459755699727,62.36505794680755,16.465772932735938,7.179415273110671,26.371141871746303,17.792928037673686,3.415374172579128,44.14524201843213,0.3890604958738514
Athlete 1 Bergdorf,1/18/2022,,59.68736299124407,84.14208357941925,59.46622097391017,76.40330866815644,7.780812700299569,6.890544973993993,8.908637441101536,88.8687628648553,14.156061555405719,11.623919101890536,2.8857493462405372,5.303373850233004,2.044592731862506,1.3724761050889913,3.4733559242306624,0.8973299539689945,0.9816459755699727,62.36505794680755,16.465772932735938,7.179415273110671,26.371141871746303,17.792928037673686,3.415374172579128,44.14524201843213,0.3890604958738514
